Schulnummer;Schultyp;Name;Strasse;PLZ;Ort;Homepage;Link
"8020";"Volksschule zur sonderp?dagog. F?rderung";"Antonio-Huber-Schule Sonderpädagogisches Förderzentrum Lindenberg i.Allgäu ";"Antoniusplatz 7";"88161";"Lindenberg i.Allgäu";"www.sfz-ahs.de";"/schule/8020.html"
"8119";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule für Krankenpflege Lindenberg i.Allgäu der Schwestern- schaft München vom BRK an der Rot-Kreuz-Klinik Lindenberg i.Allgä";"Dr.-Otto-Geßler-Platz 3";"88161";"Lindenberg i.Allgäu";"www.krankenpflege-lindenberg.de";"/schule/8119.html"
"8120";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule für Pflege Lindenberg i.Allgäu der Schwesternschaft München vom Bayerischen Roten Kreuz e.V.";"Dr.-Otto-Geßler-Platz 3";"88161";"Lindenberg i.Allgäu";"www.swm-pflegeschule-lindenberg.de";"/schule/8120.html"
"8201";"Volksschule zur sonderp?dagog. F?rderung";"Sankt-Martin-Schule Lindenberg i. Allgäu Förderzentrum für den Förder- schwerpunkt geistige Entwicklung";"Am Wäldele 28";"88161";"Lindenberg i.Allgäu";"www.sankt-martin-schule.de";"/schule/8201.html"
"8793";"Grund- u. Mittelschule";"Grundschule Lindenberg i.Allgäu   ";"Marktstraße 12";"88161";"Lindenberg i.Allgäu";"www.gs-lindenberg.de";"/schule/8793.html"
"8794";"Grund- u. Mittelschule";"Mittelschule Lindenberg i.Allgäu   ";"Sonnenhalde 59";"88161";"Lindenberg i.Allgäu";"www.mittelschulelindenberg.de";"/schule/8794.html"
"8783";"Grund- u. Mittelschule";"Grundschule Laubenberg   ";"Hauptstr. 22";"88167";"Grünenbach";"www.laubenbergschule.de";"/schule/8783.html"
"8800";"Grund- u. Mittelschule";"Grundschule Röthenbach (Allgäu)   ";"Kirchweg 1";"88167";"Röthenbach (Allgäu)";" ";"/schule/8800.html"
"8802";"Grund- u. Mittelschule";"Grundschule Stiefenhofen   ";"Schulstr. 9";"88167";"Stiefenhofen";" ";"/schule/8802.html"
"8804";"Grund- u. Mittelschule";"Mittelschule Weiler im Allgäu   ";"Schulstr. 17";"88171";"Weiler-Simmerberg";"www.schule-weiler.de";"/schule/8804.html"
"8805";"Grund- u. Mittelschule";"Grundschule Simmerberg   ";"Alte Salzstr. 30";"88171";"Weiler-Simmerberg";" ";"/schule/8805.html"
"8983";"Grund- u. Mittelschule";"Grundschule Weiler im Allgäu   ";"Schulstr. 17";"88171";"Weiler-Simmerberg";"www.schule-weiler.de";"/schule/8983.html"
